solvent1,solvent2,GE_RT_x05,gamma1_inf,gamma2_inf
Decane,Acetone,0.3242076592596782,4.603446533641638,2.974833808677628
Decane,Acetonitrile,0.7827359319004887,95.32085676947544,12.56537447440584
Decane,Benzene,0.0869297565145423,1.7092407390208495,1.291194920345053
Decane,Carbon tetrachloride,-0.0398684860566683,0.8213982372559251,0.8740750085148669
Decane,Chloroform,0.0104024638732015,1.0634770105872438,1.028168699741799
Decane,Cyclohexane,-0.0453117205784288,0.7970169368693797,0.8593351952935708
Decane,DMF,0.4292301051252803,5.204932533721869,5.077164760555348
Decane,DMSO,0.7952845021603119,14.0000821953484,32.27324006028357
Decane,Dichloromethane,0.1342446068034617,2.2876498755280603,1.4793579443376537
Decane,Diethyl ether,0.0317876324799298,1.1785040791486476,1.1070708739038415
Decane,Dioxane,0.3426016852075484,4.797504561581409,3.286759860237318
Decane,Ethanol,0.6097654771204186,15.257515339217914,89.30720090831214
Decane,Ethyl acetate,0.2750957212664375,3.5065227211245733,2.646700203361672
Decane,Ethylbenzene,0.0689996098812321,1.4060800751742044,1.2610254485759125
Decane,Methanol,0.7572763998655623,47.27316212457149,227.16523143641228
Decane,Methyl acetate,0.3442471790231675,5.391927196069552,3.1792999119282874
Decane,NMP,0.3227952212907868,3.213378014870232,3.6494194004637737
Decane,Propanol,0.5466032970975065,9.250375849547286,74.19932163632409
Decane,THF,0.0645624359649836,1.3484713399345027,1.2387871038576603
Decane,Toluene,0.0738428796152446,1.4912444411663317,1.2634396212910934
Decane,Water,1.9209599304111729,23932376.482024822,98065.41297071114
Dichloromethane,Acetic acid,0.0298427082627205,0.7744332612837099,11.04818240707674
Dichloromethane,Carbon tetrachloride,0.1434164398759032,1.7088915044179986,1.852075634228386
Dichloromethane,Chloroform,0.0287065843768674,1.1088872494956878,1.1362036487295797
Dichloromethane,Diethyl ether,-0.6239006778452327,0.0737227817299889,0.1189717135428875
Dichloromethane,Dioxane,-0.9186317242770944,0.0474697737974329,0.0214553213429093
Dichloromethane,Ethyl acetate,-0.7245785472966482,0.0893217597727237,0.0432657200487722
Dichloromethane,Methyl acetate,-0.6766916059462196,0.0973193807279013,0.0590517572246842
Dichloromethane,Water,1.095803553829965,193.41475870870423,1477.1235184049804
Diethyl ether,Acetic acid,-0.2953985328209489,0.6926311289965175,0.1465765890551982
Diethyl ether,Dioxane,0.0970711242295467,1.446778670979698,1.4976291479321149
