MAE_ln_gamma1,MAE_ln_gamma2,MAE_GE_RT,RMSE_ln_gamma1,RMSE_ln_gamma2,RMSE_GE_RT,bias_GE_RT,max_abs_GE_RT_ct,n_points,solvent1,solvent2,T_K,class1,class2,class_pair,lle_found_ct,lle_x1_phase1,lle_x1_phase2
0.10664070665653333,0.103738083314225,0.05683718416208834,0.13446512853798387,0.14492282089047626,0.06085736290296191,0.05683718416208834,0.38604524917923133,19,Pentane,Dioxane,298.15,Alkane,Ether,Alkane + Ether,False,,
0.09690244139815123,0.09470667983827008,0.0517549412255076,0.12309952981725239,0.1310800900983442,0.05539527727576838,0.0517549412255076,0.3485884929127634,19,Pentane,Dioxane,323.15,Alkane,Ether,Alkane + Ether,False,,
0.08838662546518442,0.08671799958302617,0.04728997179178902,0.11299937020892328,0.11910498293905748,0.05060326976961545,0.04728997179178902,0.31641951163619525,19,Pentane,Dioxane,348.15,Alkane,Ether,Alkane + Ether,False,,
0.08091808168187445,0.07964720622236364,0.04335866604508385,0.10402077565392147,0.10869435555555809,0.046388277635971246,0.04335866604508385,0.28822254172521405,19,Pentane,Dioxane,373.15,Alkane,Ether,Alkane + Ether,False,,
0.07434940860726431,0.07338135478010947,0.03989004113380999,0.09603142884899822,0.09960357842787511,0.042671842851221775,0.03989004113380999,0.26342564593268364,19,Pentane,Dioxane,398.15,Alkane,Ether,Alkane + Ether,False,,
0.0728475298648103,0.07024119601992863,0.03871622707238716,0.09038891735883797,0.10023292531605307,0.04146210940728239,0.03871622707238716,0.2936086298194693,19,Pentane,Ethyl acetate,298.15,Alkane,Ester,Alkane + Ester,False,,
0.06531601561315896,0.06324442705540965,0.034768535848298976,0.08156521013116533,0.08946468616926777,0.03722427243962901,0.034768535848298976,0.26339607126466064,19,Pentane,Ethyl acetate,323.15,Alkane,Ester,Alkane + Ester,False,,
0.05880389759450475,0.05713821795929229,0.03134454359434322,0.07384016274161434,0.08024040069426354,0.033551699271924904,0.03134454359434322,0.2373819036310499,19,Pentane,Ethyl acetate,348.15,Alkane,Ester,Alkane + Ester,False,,
0.05315756462080554,0.05180456896720966,0.02836812569683129,0.06707155045681848,0.0723038027365803,0.030361190542588772,0.02836812569683129,0.21487167312894984,19,Pentane,Ethyl acetate,373.15,Alkane,Ester,Alkane + Ester,False,,
0.04824690480192804,0.047137339098355276,0.025773818562135967,0.061131582685793266,0.06544523991583187,0.027581356684028106,0.025773818562135967,0.19547421554935684,19,Pentane,Ethyl acetate,398.15,Alkane,Ester,Alkane + Ester,False,,
